section_id,name,rva,virtual_size,raw_offset,raw_size,contributions
1,.text,0x00001000,0x005e3edc,0x00001000,0x005e4000,53443
2,.rdata,0x005e5000,0x00095f88,0x005e5000,0x00096000,19256
3,.data,0x0067b000,0x0011c48c,0x0067b000,0x0004c000,1847
4,.tls,0x00798000,0x0000b335,0x006c7000,0x0000c000,205
5,.rsrc,0x007a4000,0x00005be0,0x006d3000,0x00006000,2
6,.reloc,0x007aa000,0x0006a056,0x006d9000,0x0006b000,0
